frame     start count    union count    avg       max union      end count      CountR    MinR      MaxR      CountL    MinL      MaxL      CountC    MinC      MaxC      
651       153            39             3.92      2              114            47        21.21     200.26    37        21.21     151.32    30        21.02     84.02     
652       215            69             3.12      3              146            74        20.0      125.21    33        20.81     103.0     39        20.0      138.01    
653       199            56             3.55      3              143            71        20.0      169.01    34        21.21     133.81    38        21.0      96.01     
654       177            47             3.77      3              130            53        20.52     139.31    33        20.25     132.41    44        20.0      108.12    
655       201            64             3.14      5              137            62        20.0      168.36    36        20.52     63.95     39        21.02     103.0     
656       183            49             3.73      3              134            62        20.25     162.83    37        21.95     113.81    35        22.0      143.0     
657       168            43             3.91      4              125            66        20.0      93.61     27        20.0      124.62    32        20.02     91.0      
658       171            62             2.76      4              109            64        20.25     271.45    18        21.95     76.03     27        26.02     120.02    
659       130            38             3.42      3              92             47        21.21     90.92     17        20.0      98.81     28        20.0      119.02    
660       202            67             3.01      3              135            70        20.25     165.86    29        20.25     88.81     36        21.02     197.21    
661       179            65             2.75      3              114            57        20.0      90.92     25        21.26     86.61     32        20.02     124.0     
662       169            50             3.38      3              119            58        20.0      115.21    26        20.25     60.8      35        20.02     152.16    
663       141            42             3.36      3              99             41        20.0      113.07    21        20.25     57.14     37        20.1      110.02    
664       140            39             3.59      3              101            41        20.0      153.6     23        20.25     79.4      37        20.02     109.0     
665       89             30             2.97      2              59             24        20.62     93.15     13        23.02     44.41     22        21.02     145.0     
666       177            59             3.0       5              118            54        20.25     88.87     18        20.81     51.97     46        21.02     194.02    
667       55             15             3.67      2              40             18        20.52     93.15     8         22.63     44.05     14        22.0      94.0      
668       173            55             3.15      3              118            59        20.25     178.22    18        21.21     79.61     41        21.0      115.0     
669       170            55             3.09      3              115            55        20.25     116.21    16        23.35     56.94     44        20.0      135.18    
670       182            58             3.14      2              124            74        20.25     132.28    14        20.62     75.29     36        21.02     198.25    
671       184            60             3.07      3              124            67        20.62     126.67    17        20.25     45.28     40        20.0      180.34    
672       179            49             3.65      3              130            66        20.0      134.53    19        20.81     49.04     45        20.0      118.15    
673       90             25             3.6       2              65             33        20.25     180.07    9         20.25     44.6      23        25.0      89.0      
674       153            53             2.89      3              100            55        20.0      194.28    16        20.81     59.46     29        20.02     88.01     
